"Rank #3 (Only Reaseach Paper based formula)                                                                                                                                                                                                         The only formula used for sentence scoring is                                                                                                                                                                                               Wnew = Wold + (sd * (1.5*L + 0.2*d + 0.3*e)) / length(Sentence), where                                                                                                                                                 Wnew : New sentence score Wold : Old sentence score                                                                                                                                                                                      sd : standard deviantion of sentence scores                                                                                                                                                                                                            L : Number of legal terms in the sentence                                                                                                                                                                                                                      d : Total count of numeric digits (like year, case number, act, sec, rule etc)                                                                                                                                                      e : number of entities present in the sentences                                                                                                                                                                                                 Note:We haven't given higher tfidf score for the legal terms.All terms tfidf score are given based on their occurence in the document only.        Number of Documents on which scores is calcuated :7090 Documents",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
File Name,Rouge-1 F,Rouge-1 P,Rouge-1 R,Rouge-2 F,Rouge-2 P,Rouge-2 R,Rouge-L F,Rouge-L P,Rouge-L R
,,,,,,,,,
2010_A_122.txt,0.193353469,0.168421053,0.226950355,0.049713188,0.048507463,0.050980392,0.156432667,0.142105263,0.191489362
,,,,,,,,,
2010_A_123.txt,0.225201067,0.205882353,0.24852071,0.085667211,0.085245902,0.086092715,0.200257681,0.18627451,0.224852071
,,,,,,,,,
2010_A_125.txt,0.410714281,0.575,0.319444444,0.229965152,0.336734694,0.174603175,0.299960968,0.483333333,0.268518519
,,,,,,,,,
2010_A_126.txt,0.344410872,0.53271028,0.254464286,0.149200707,0.285714286,0.100961538,0.252146762,0.476635514,0.227678571
,,,,,,,,,
2010_A_128.txt,0.219081268,0.316326531,0.167567568,0.049216998,0.084615385,0.034700315,0.150660329,0.255102041,0.135135135
,,,,,,,,,
2010_A_133.txt,0.44444444,0.541176471,0.37704918,0.253687311,0.358333333,0.196347032,0.3639382,0.470588235,0.327868852
,,,,,,,,,
2010_A_134.txt,0.204081628,0.166666667,0.263157895,0.049999995,0.038961039,0.069767442,0.148970732,0.133333333,0.210526316
,,,,,,,,,
2010_A_135.txt,0.21311475,0.440677966,0.140540541,0.058823526,0.139240506,0.037288136,0.149970231,0.440677966,0.140540541
,,,,,,,,,
2010_A_137.txt,0.384384379,0.429530201,0.347826087,0.250883388,0.336492891,0.2,0.37616416,0.429530201,0.347826087
,,,,,,,,,
2010_A_139.txt,0.408233271,0.472222222,0.359516616,0.200177143,0.262790698,0.161659514,0.341046102,0.408730159,0.311178248
,,,,,,,,,
2010_A_140.txt,0.256249995,0.310606061,0.218085106,0.068100354,0.09047619,0.054597701,0.188780767,0.242424242,0.170212766
,,,,,,,,,
2010_A_15.txt,0.325581391,0.443037975,0.257352941,0.139941686,0.206896552,0.105726872,0.20555959,0.316455696,0.183823529
,,,,,,,,,
2010_A_17.txt,0.181818177,0.184210526,0.179487179,0.063926936,0.067307692,0.060869565,0.168774247,0.171052632,0.166666667
,,,,,,,,,
2010_A_19.txt,0.191570876,0.222222222,0.168350168,0.01481481,0.018518519,0.012345679,0.162514168,0.195555556,0.148148148
,,,,,,,,,
2010_A_25.txt,0.341692785,0.334355828,0.349358974,0.168240338,0.163333333,0.173451327,0.316309947,0.309815951,0.323717949
,,,,,,,,,
2010_A_26.txt,0.112582777,0.153153153,0.089005236,0.007984027,0.010526316,0.006430868,0.081966029,0.126126126,0.073298429
,,,,,,,,,
2010_A_27.txt,0.242424237,0.237623762,0.24742268,0.055130163,0.054545455,0.055727554,0.216994669,0.212871287,0.221649485
,,,,,,,,,
2010_A_3.txt,0.268602537,0.173302108,0.596774194,0.103349279,0.065693431,0.242152466,0.138808003,0.131147541,0.451612903
,,,,,,,,,
2010_A_31.txt,0.360655733,0.555555556,0.266990291,0.201207239,0.362318841,0.139275766,0.242034305,0.454545455,0.218446602
,,,,,,,,,
2010_A_33.txt,0.284974089,0.225409836,0.387323944,0.148499206,0.113253012,0.21559633,0.206238364,0.18442623,0.316901408
,,,,,,,,,
2010_A_35.txt,0.241992878,0.4,0.173469388,0.047210297,0.094017094,0.031518625,0.173738936,0.364705882,0.158163265
,,,,,,,,,
2010_A_36.txt,0.238907845,0.236486486,0.24137931,0.077803199,0.080952381,0.074889868,0.225208758,0.222972973,0.227586207
,,,,,,,,,
2010_A_37.txt,0.249999995,0.25,0.25,0.098081018,0.093495935,0.103139013,0.208333333,0.208333333,0.208333333
,,,,,,,,,
